"city,state",Latitude,Longitude,,
"Elberton, GA",34.129737,-82.840971,,
"Albemarle, NC",35.319817,-80.253448,,
"Asheboro, NC",35.727975,-79.786966,,
"Burgaw, NC",34.546108,-77.937122,,
"Burlington, NC",36.029833,-79.49161,,
"Charlotte, NC",35.26002,-80.804151,,
"Columbus, NC",35.25317,-82.19706,,
"Concord, NC",35.371633,-80.562141,,
"Greensboro, NC",36.069144,-79.765156,,
"Kings Mountain, NC",35.18319,-81.33786,,
"Laurinburg, NC",34.796929,-79.475606,,
"Lincolnton, NC",35.485145,-81.181799,,
"Lumberton, NC",34.608106,-78.934474,,
"Monroe, NC",35.074176,-80.527827,,
"Morganton, NC",35.772992,-81.676229,,
"Mount Pleasant, NC",35.416779,-80.416474,,
"Reidsville, NC",36.358275,-79.742001,,
"Shelby, NC",35.312012,-81.556777,,
"Wadesboro, NC",34.924469,-80.05003,,
"Whiteville, NC",34.33878,-78.70307,,
"Wilmington, NC",34.271985,-77.963628,,
"Anderson, SC",34.506502,-82.605626,,
"Charleston, SC",32.780326,-79.940844,,
"Pickens, SC",34.873784,-82.712484,,
"Chandler, AZ",33.324113,-111.878217,,
"Gilbert, AZ",33.335401,-111.815281,,
"Glendale, AZ",33.531753,-112.177935,,
"Phoenix, AZ",33.703967,-112.351835,,
"Arroyo Grande, CA",35.176005,-120.476742,,
"Bakersfield, CA",35.384337,-119.020562,,
"Camarillo, CA",34.227855,-119.079869,,
"Carmichael, CA",38.62136,-121.332191,,
"Folsom, CA",38.666597,-121.141636,,
"Glendale, CA",34.17051,-118.289463,,
"Grass Valley, CA",39.196288,-120.95855,,
"Long Beach, CA",33.804309,-118.200957,,
"Los Angeles, CA",33.973951,-118.248405,,
"Merced, CA",37.345785,-120.42415,,
"Mt. Shasta, CA",40.601263,-122.494455,,
"Northridge, CA",34.238208,-118.55029,,
"Oxnard, CA",34.205247,-119.174092,,
"Red Bluff, CA",40.142907,-122.340888,,
"Redding, CA",40.600342,-122.455016,,
"Redwood City, CA",37.381144,-122.334825,,
"Sacramento, CA",38.380456,-121.555406,,
"San Andreas, CA",38.190106,-120.616052,,
"San Bernardino, CA",34.104794,-117.29215,,
"San Francisco, CA",37.776646,-122.417481,,
"San Luis Obispo, CA",35.265573,-120.62122,,
"Santa Cruz, CA",37.052748,-122.111126,,
"Santa Maria, CA",34.875832,-120.340795,,
"Stockton, CA",37.672196,-121.298794,,
"Woodland, CA",38.74388,-121.915653,,
"Henderson, NV",35.927901,-114.972061,,
"Las Vegas, NV",36.17372,-115.10647,,
"Alabaster, AL",33.193415,-86.794377,,
"Alexander City, AL",32.916507,-85.940602,,
"Ashland, AL",33.234539,-85.847477,,
"Bessemer, AL",33.402429,-86.951784,,
"Birmingham, AL",33.456412,-86.801904,,
"Carrollton, AL",33.289682,-88.117113,,
"Centre, AL",34.110859,-85.590218,,
"Centreville, AL",32.948233,-87.139316,,
"Clanton, AL",32.856632,-86.652875,,
"Cullman, AL",34.111067,-86.853185,,
"Demopolis, AL",32.51764,-87.8364,,
"Dothan, AL",31.148124,-85.371845,,
"Eufaula, AL",32.060643,-85.116624,,
"Eutaw, AL",32.836298,-87.893016,,
"Florence, AL",34.82298,-87.661652,,
"Foley, AL",30.384723,-87.726796,,
"Fort Payne, AL",34.417112,-85.828068,,
"Gadsden, AL",34.049367,-85.934285,,
